loser,winner,result,year,link
Taylor Wily,Gerard Gordeau,win,1993,No link available
Zane Frazier,Kevin Rosier,win,1993,No link available
Art Jimmerson,Royce Gracie,win,1993,No link available
Patrick Smith,Ken Shamrock,win,1993,No link available
Kevin Rosier,Gerard Gordeau,win,1993,No link available
Ken Shamrock,Royce Gracie,win,1993,No link available
Trent Jenkins,Jason DeLucia,win,1993,No link available
Gerard Gordeau,Royce Gracie,win,1993,No link available
Sean Daugherty,Scott Morris,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Ray Wizard,Patrick Smith,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
David Levicki,Johnny Rhodes,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Thaddeus Luster,Frank Hamaker,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Robert Lucarelli,Orlando Wiet,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Alberta Cerra Leon,Remco Pardoel,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Scott Baker,Jason DeLucia,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Minoki Ichihara,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Scott Morris,Patrick Smith,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Fred Ettish,Johnny Rhodes,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Orlando Wiet,Remco Pardoel,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Jason DeLucia,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Johnny Rhodes,Patrick Smith,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Remco Pardoel,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Patrick Smith,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Emmanuel Yarborough,Keith Hackney,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Christophe Leninger,Ken Shamrock,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Roland Payne,Harold Howard,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Kimo Leopoldo,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Felix Lee Mitchell,Ken Shamrock,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Harold Howard,Steve Jennum,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Kevin Rosier,Joe Charles,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Eldo Xavier Dias,Marcus Bossett,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Jason Fairn,Guy Mezger,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Ron van Clief,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Joe Son,Keith Hackney,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Melton Bowen,Steve Jennum,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Anthony Macias,Dan Severn,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Keith Hackney,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Marcus Bossett,Dan Severn,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Dan Severn,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/b60391da771deefe
Asbel Cancio,Dave Beneteau,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
John Dowdy,Guy Mezger,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Andy Anderson,Jon Hess,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Larry Cureton,Todd Medina,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Ernie Verdicia,Oleg Taktarov,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Joe Charles,Dan Severn,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Todd Medina,Dave Beneteau,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Oleg Taktarov,Dan Severn,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Royce Gracie,Ken Shamrock,draw,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Dave Beneteau,Dan Severn,win,1995,http://www.ufcstats.com/event-details/dedc3bb440d09554
Jack McGlaughlin,Joel Sutton,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
He-Man Gipson,Anthony Macias,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
John Matua,David Abbott,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
Cal Worsham,Paul Varelans,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
Rudyard Moncayo,Patrick Smith,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
Dave Beneteau,Oleg Taktarov,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
Paul Varelans,David Abbott,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
Anthony Macias,Oleg Taktarov,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
Dan Severn,Ken Shamrock,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
David Abbott,Oleg Taktarov,win,1995,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
Geza Kalman,Joel Sutton,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Francesco Maturi,Onassis Parungao,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
David Hood,Scott Bessac,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Gerry Harris,Paul Varelans,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Harold Howard,Mark Hall,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Ryan Parker,Remco Pardoel,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Larry Cureton,Marco Ruas,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Mark Hall,Paul Varelans,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Remco Pardoel,Marco Ruas,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Oleg Taktarov,Ken Shamrock,draw,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Paul Varelans,Marco Ruas,win,1995,http://www.ufcstats.com/event-details/5af480a3b2e1726b
Scott Bessac,Joe Charles,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Trent Jenkins,Mark Hall,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Steve Jennum,David Abbott,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Paul Varelans,Dan Severn,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Keith Hackney,Marco Ruas,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Dave Beneteau,Oleg Taktarov,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
David Abbott,Dan Severn,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Marco Ruas,Oleg Taktarov,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Oleg Taktarov,Dan Severn,win,1995,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
Keith Mielke,Sam Adkins,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Thomas Ramirez,Don Frye,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Joe Moreira,Paul Varelans,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Scott Ferrozzo,Jerry Bohlander,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Paul Herrera,Gary Goodridge,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Sam Adkins,Don Frye,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Jerry Bohlander,Gary Goodridge,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Kimo Leopoldo,Ken Shamrock,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Gary Goodridge,Don Frye,win,1996,http://www.ufcstats.com/event-details/b63e800c18e011b5
Tai Bowden,Steve Nelmark,win,1996,http://www.ufcstats.com/event-details/a390eb8a9b2df298
Zane Frazier,Cal Worsham,win,1996,http://www.ufcstats.com/event-details/a390eb8a9b2df298
Matt Andersen,Rafael Carino,win,1996,http://www.ufcstats.com/event-details/a390eb8a9b2df298
Gary Goodridge,Mark Schultz,win,1996,http://www.ufcstats.com/event-details/a390eb8a9b2df298
Koji Kitao,Mark Hall,win,1996,http://www.ufcstats.com/event-details/a390eb8a9b2df298
Amaury Bitetti,Don Frye,win,1996,http://www.ufcstats.com/event-details/a390eb8a9b2df298
Ken Shamrock,Dan Severn,win,1996,http://www.ufcstats.com/event-details/a390eb8a9b2df298
Dieusel Berto,Geza Kalman,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Felix Lee Mitchell,Sam Adkins,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Mark Hall,Don Frye,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Scott Fiedler,Brian Johnston,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Moti Horenstein,Mark Coleman,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
John Campetella,Gary Goodridge,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Brian Johnston,Don Frye,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Gary Goodridge,Mark Coleman,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Don Frye,Mark Coleman,win,1996,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
Sam Fulton,Scott Ferrozzo,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
Dave Berry,Roberto Traven,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
Julian Sanchez,Mark Coleman,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
Reza Nasri,Brian Johnston,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
Sam Adkins,David Abbott,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
Fabio Gurgel,Jerry Bohlander,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
Brian Johnston,Mark Coleman,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
David Abbott,Scott Ferrozzo,win,1996,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
Felix Lee Mitchell,Mark Hall,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Marcus Bossett,Steve Nelmark,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Jack Nilson,Tai Bowden,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Gary Goodridge,Don Frye,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Cal Worsham,David Abbott,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Paul Varelans,Kimo Leopoldo,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Brian Johnston,Ken Shamrock,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Mark Hall,Don Frye,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Steve Nelmark,David Abbott,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
David Abbott,Don Frye,win,1996,http://www.ufcstats.com/event-details/9b5b5a75523728f3
Jackie Lee,Nick Sanzo,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Eric Martin,Justin Martin,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Rainy Martinez,Jerry Bohlander,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Wallid Ismail,Yoshiki Takahashi,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Jim Mullen,Scott Ferrozzo,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Tra Telligman,Vitor Belfort,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Nick Sanzo,Jerry Bohlander,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Scott Ferrozzo,Vitor Belfort,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Dan Severn,Mark Coleman,win,1997,http://www.ufcstats.com/event-details/96eff1a628adcc7f
Wes Albritton,Tito Ortiz,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Saeed Hosseini,Jack Nilson,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Christophe Leninger,Guy Mezger,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Royce Alger,Enson Inoue,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Dmitri Stepanov,Steven Graham,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Tony Halme,Randy Couture,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Tito Ortiz,Guy Mezger,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Steven Graham,Randy Couture,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
David Abbott,Vitor Belfort,win,1997,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
Donnie Chappell,Tony Fryklund,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Sam Fulton,Alex Hunter,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Yuri Vaulin,Joe Moreira,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Todd Butler,Kevin Jackson,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Moti Horenstein,Mark Kerr,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Brian Johnston,Dan Bobish,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Tony Fryklund,Kevin Jackson,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Dan Bobish,Mark Kerr,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Mark Coleman,Maurice Smith,win,1997,http://www.ufcstats.com/event-details/dc950d59dc590aca
Harry Moskowitz,Alex Hunter,win,1997,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
Houston Dorr,Dwayne Cason,win,1997,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
Greg Stott,Mark Kerr,win,1997,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
Carlos Barreto,Dave Beneteau,win,1997,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
Vitor Belfort,Randy Couture,win,1997,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
Dwayne Cason,Mark Kerr,win,1997,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
David Abbott,Maurice Smith,win,1997,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
Brad Kohler,Tra Telligman,win,1997,http://www.ufcstats.com/event-details/29f935654825331b
Yoji Anjo,David Abbott,win,1997,http://www.ufcstats.com/event-details/29f935654825331b
Marcus Silveira,Kazushi Sakuraba,nc,1997,http://www.ufcstats.com/event-details/29f935654825331b
Kevin Jackson,Frank Shamrock,win,1997,http://www.ufcstats.com/event-details/29f935654825331b
Joe Charles,Vitor Belfort,win,1997,http://www.ufcstats.com/event-details/29f935654825331b
Marcus Silveira,Kazushi Sakuraba,win,1997,http://www.ufcstats.com/event-details/29f935654825331b
Maurice Smith,Randy Couture,win,1997,http://www.ufcstats.com/event-details/29f935654825331b
Josh Stuart,Laverne Clark,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Courtney Turner,Chris Brennan,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Eugenio Tadeu,Mikey Burnett,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Townsend Saunders,Pat Miletich,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Kevin Jackson,Jerry Bohlander,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Chris Brennan,Pat Miletich,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Kimo Leopoldo,Tsuyoshi Kohsaka,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Igor Zinoviev,Frank Shamrock,win,1998,http://www.ufcstats.com/event-details/749685d24e2cac50
Noe Hernandez,Chuck Liddell,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Harry Moskowitz,Andre Roberts,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Allan Goes,Dan Henderson,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Bob Gilstrap,Carlos Newton,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Joe Pardo,Mike van Arsdale,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Hugo Duarte,David Abbott,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Carlos Newton,Dan Henderson,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Mark Coleman,Pete Williams,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Jeremy Horn,Frank Shamrock,win,1998,http://www.ufcstats.com/event-details/4a01dc8376736ef5
Paulo Santos,Cesar Marscucci,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
Adriano Santos,Tulio Palhares,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
Jeremy Horn,Ebenezer Fontes Braga,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
Pete Williams,Tsuyoshi Kohsaka,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
Mikey Burnett,Pat Miletich,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
David Abbott,Pedro Rizzo,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
Wanderlei Silva,Vitor Belfort,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
John Lober,Frank Shamrock,win,1998,http://www.ufcstats.com/event-details/32a3025d5db456ae
Frank Caracci,Laverne Clark,win,1999,http://www.ufcstats.com/event-details/c9bbf1a0285a8076
Darrel Gholar,Evan Tanner,win,1999,http://www.ufcstats.com/event-details/c9bbf1a0285a8076
Townsend Saunders,Mikey Burnett,win,1999,http://www.ufcstats.com/event-details/c9bbf1a0285a8076
Jerry Bohlander,Tito Ortiz,win,1999,http://www.ufcstats.com/event-details/c9bbf1a0285a8076
Mark Coleman,Pedro Rizzo,win,1999,http://www.ufcstats.com/event-details/c9bbf1a0285a8076
Jorge Patino,Pat Miletich,win,1999,http://www.ufcstats.com/event-details/c9bbf1a0285a8076
Tsuyoshi Kohsaka,Bas Rutten,win,1999,http://www.ufcstats.com/event-details/c9bbf1a0285a8076
Joey Roberts,Sione Latu,win,1999,http://www.ufcstats.com/event-details/a220be6d41d6f97d
Jason Godsey,Pete Williams,win,1999,http://www.ufcstats.com/event-details/a220be6d41d6f97d
Valeri Ignatov,Evan Tanner,win,1999,http://www.ufcstats.com/event-details/a220be6d41d6f97d
Maurice Smith,Kevin Randleman,win,1999,http://www.ufcstats.com/event-details/a220be6d41d6f97d
Chuck Liddell,Jeremy Horn,win,1999,http://www.ufcstats.com/event-details/a220be6d41d6f97d
Andre Roberts,Gary Goodridge,win,1999,http://www.ufcstats.com/event-details/a220be6d41d6f97d
Guy Mezger,Tito Ortiz,win,1999,http://www.ufcstats.com/event-details/a220be6d41d6f97d
Chris Condo,Ron Waterman,win,1999,http://www.ufcstats.com/event-details/a7b48e18ca27795d
Fabiano Iha,Laverne Clark,win,1999,http://www.ufcstats.com/event-details/a7b48e18ca27795d
David Roberts,Marcelo Mello,win,1999,http://www.ufcstats.com/event-details/a7b48e18ca27795d
Tony Petarra,Wanderlei Silva,win,1999,http://www.ufcstats.com/event-details/a7b48e18ca27795d
Travis Fulton,Pete Williams,win,1999,http://www.ufcstats.com/event-details/a7b48e18ca27795d
Tra Telligman,Pedro Rizzo,win,1999,http://www.ufcstats.com/event-details/a7b48e18ca27795d
Kevin Randleman,Bas Rutten,win,1999,http://www.ufcstats.com/event-details/a7b48e18ca27795d
David Dodd,Travis Fulton,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Ron Waterman,Andre Roberts,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Royce Alger,Eugene Jackson,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Tim Lajcik,Tsuyoshi Kohsaka,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Flavio Luiz Moura,Paul Jones,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Daiju Takase,Jeremy Horn,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Andre Pederneiras,Pat Miletich,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Marco Ruas,Maurice Smith,win,1999,http://www.ufcstats.com/event-details/1a1a4d7a29041d77
Alfonso Alcarez,Jens Pulver,draw,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Lowell Anderson,John Lewis,win,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Valeri Ignatov,Matt Hughes,win,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Paul Jones,Chuck Liddell,win,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Steve Judson,Brad Kohler,win,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Jason Godsey,Jeremy Horn,win,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Ron Waterman,Tim Lajcik,draw,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Tito Ortiz,Frank Shamrock,win,1999,http://www.ufcstats.com/event-details/afaad7d6a581e307
Masutatsu Yano,Katsuhisa Fujii,win,1999,http://www.ufcstats.com/event-details/a8fa0c4e95512806
Daiju Takase,Kenichi Yamamoto,win,1999,http://www.ufcstats.com/event-details/a8fa0c4e95512806
Keiichiro Yamamiya,Eugene Jackson,win,1999,http://www.ufcstats.com/event-details/a8fa0c4e95512806
Jason DeLucia,Joe Slick,win,1999,http://www.ufcstats.com/event-details/a8fa0c4e95512806
Katsuhisa Fujii,Kenichi Yamamoto,win,1999,http://www.ufcstats.com/event-details/a8fa0c4e95512806
Tsuyoshi Kohsaka,Pedro Rizzo,win,1999,http://www.ufcstats.com/event-details/a8fa0c4e95512806
Pete Williams,Kevin Randleman,win,1999,http://www.ufcstats.com/event-details/a8fa0c4e95512806
Brad Gumm,Shonie Carter,win,2000,http://www.ufcstats.com/event-details/20ec0061400178ca
Ian Freeman,Scott Adams,win,2000,http://www.ufcstats.com/event-details/20ec0061400178ca
David Velasquez,Jens Pulver,win,2000,http://www.ufcstats.com/event-details/20ec0061400178ca
Tiki Ghosn,Bob Cook,win,2000,http://www.ufcstats.com/event-details/20ec0061400178ca
Fabiano Iha,Dave Menne,win,2000,http://www.ufcstats.com/event-details/20ec0061400178ca
Jermaine Andre,Lance Gibson,win,2000,http://www.ufcstats.com/event-details/20ec0061400178ca
Steve Judson,Tedd Williams,win,2000,http://www.ufcstats.com/event-details/20ec0061400178ca
Koji Oishi,Laverne Clark,win,2000,http://www.ufcstats.com/event-details/d2b1c1317a39f6c6
Joe Slick,Ikuhisa Minowa,win,2000,http://www.ufcstats.com/event-details/d2b1c1317a39f6c6
Satoshi Honma,Ron Waterman,win,2000,http://www.ufcstats.com/event-details/d2b1c1317a39f6c6
Eugene Jackson,Sanae Kikuta,win,2000,http://www.ufcstats.com/event-details/d2b1c1317a39f6c6
Yoji Anjo,Murilo Bustamante,win,2000,http://www.ufcstats.com/event-details/d2b1c1317a39f6c6
Wanderlei Silva,Tito Ortiz,win,2000,http://www.ufcstats.com/event-details/d2b1c1317a39f6c6
Adrian Serrano,Shonie Carter,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
Nate Schroeder,Ian Freeman,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
Joao Roque,Jens Pulver,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
Marcelo Aguiar,Matt Hughes,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
Alex Andrade,Amaury Bitetti,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
John Alessio,Pat Miletich,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
David Dodd,Tyrone Roberts,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
Pedro Rizzo,Kevin Randleman,win,2000,http://www.ufcstats.com/event-details/cedfdf8d423d500c
CJ Fernandes,Brad Gumm,draw,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Tim Lajcik,Jeff Monson,win,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Tedd Williams,Ian Freeman,win,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Alexandre Dantas,Yuki Kondo,win,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Laverne Clark,Fabiano Iha,win,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Eugene Jackson,Jeremy Horn,win,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Bobby Hoffman,Maurice Smith,win,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Dan Severn,Pedro Rizzo,win,2000,http://www.ufcstats.com/event-details/31652c9267606d54
Chris Lytle,Ben Earwood,win,2000,http://www.ufcstats.com/event-details/da6dfd09cca1d705
Alex Stiebling,Mark Hughes,win,2000,http://www.ufcstats.com/event-details/da6dfd09cca1d705
John Lewis,Jens Pulver,win,2000,http://www.ufcstats.com/event-details/da6dfd09cca1d705
Aaron Brink,Andrei Arlovski,win,2000,http://www.ufcstats.com/event-details/da6dfd09cca1d705
Gan McGee,Josh Barnett,win,2000,http://www.ufcstats.com/event-details/da6dfd09cca1d705
Maurice Smith,Renato Sobral,win,2000,http://www.ufcstats.com/event-details/da6dfd09cca1d705
Kevin Randleman,Randy Couture,win,2000,http://www.ufcstats.com/event-details/da6dfd09cca1d705
Jeff Monson,Chuck Liddell,win,2000,http://www.ufcstats.com/event-details/08ae5cd9aef7ddd3
Matt Hughes,Dennis Hallman,win,2000,http://www.ufcstats.com/event-details/08ae5cd9aef7ddd3
Lance Gibson,Evan Tanner,win,2000,http://www.ufcstats.com/event-details/08ae5cd9aef7ddd3
Daiju Takase,Fabiano Iha,win,2000,http://www.ufcstats.com/event-details/08ae5cd9aef7ddd3
Yoji Anjo,Matt Lindland,win,2000,http://www.ufcstats.com/event-details/08ae5cd9aef7ddd3
Kenichi Yamamoto,Pat Miletich,win,2000,http://www.ufcstats.com/event-details/08ae5cd9aef7ddd3
Yuki Kondo,Tito Ortiz,win,2000,http://www.ufcstats.com/event-details/08ae5cd9aef7ddd3
Tiki Ghosn,Sean Sherk,win,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
Curtis Stout,Phil Baroni,win,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
Mark Robinson,Bobby Hoffman,nc,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
Josh Barnett,Pedro Rizzo,win,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
Jeremy Horn,Elvis Sinosic,win,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
Phil Johns,Fabiano Iha,win,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
Caol Uno,Jens Pulver,win,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
Evan Tanner,Tito Ortiz,win,2001,http://www.ufcstats.com/event-details/2b1587a3376ab743
